title,content,url,source,published_date
BPS Ingatkan Warga Bogor Waspada Modus Penipuan Berkedok Petugas Sensus,"BPS mengimbau masyarakat Bogor untuk lebih waspada terhadap oknum yang mengaku sebagai petugas Sensus Ekonomi 2026 namun tidak dilengkapi identitas resmi. Warga diminta segera melapor ke kantor BPS setempat apabila menemukan indikasi oknum yang mencurigakan. BPS menegaskan seluruh petugas sah dibekali surat tugas dan tanda pengenal resmi ber-QR code yang dapat diverifikasi. ""Kami tidak pernah meminta transfer uang atau data rekening dalam proses sensus,"" tegas petugas BPS. BPS berharap kewaspadaan masyarakat dapat menekan potensi penyalahgunaan nama sensus untuk kepentingan pribadi oknum tertentu.",,Media Indonesia,2026-03-08
Pemkab Bojonegoro Teken Kerja Sama dengan BPS Dukung SE2026,"Pemerintah Kabupaten Bojonegoro menandatangani nota kesepahaman dengan BPS setempat untuk memperkuat dukungan pelaksanaan Sensus Ekonomi 2026. Dukungan anggaran operasional tambahan juga disiapkan pemerintah daerah untuk membantu kelancaran petugas di lapangan. Bupati/wali kota Bojonegoro menyampaikan komitmen daerah dalam menyukseskan program strategis nasional ini. ""Sinergi antara BPS dan pemerintah daerah sangat menentukan keberhasilan sensus ini,"" kata Kepala BPS Bojonegoro. Kerja sama ini diharapkan mempercepat penyelesaian tahapan SE2026 di Bojonegoro.",,CNN Indonesia,2026-03-13
Pelatihan Petugas SE2026 di Yogyakarta Tekankan Akurasi dan Etika Wawancara,"Proses rekrutmen dan pelatihan petugas SE2026 di Yogyakarta mulai berjalan, menyasar warga lokal yang memenuhi kualifikasi. Proses rekrutmen dilakukan secara transparan dan terbuka bagi warga lokal yang memenuhi kualifikasi administratif dan teknis. Sebanyak 1,4 juta calon petugas di Yogyakarta mengikuti seleksi sebelum resmi ditugaskan sebagai petugas lapangan SE2026. ""Petugas yang lolos pelatihan akan mendapatkan surat tugas resmi sebelum turun ke lapangan,"" ujar penanggung jawab pelatihan. Pelatihan lanjutan akan digelar untuk menyegarkan kembali pemahaman petugas menjelang hari pertama pencacahan.",,Okezone,2026-03-23
Pekanbaru Siapkan Fasilitas Pendukung Pelaksanaan SE2026,"Pemda Pekanbaru menyatakan komitmen penuh mendukung suksesnya pelaksanaan SE2026 di wilayahnya. Sejumlah dinas terkait di Pekanbaru dilibatkan untuk mempercepat proses koordinasi lapangan. Kerja sama tersebut mencakup penyediaan data sekunder wilayah dan fasilitasi akses ke kawasan usaha. ""Sinergi antara BPS dan pemerintah daerah sangat menentukan keberhasilan sensus ini,"" kata Kepala BPS Pekanbaru. Kerja sama ini diharapkan mempercepat penyelesaian tahapan SE2026 di Pekanbaru.",,Kumparan,2026-03-24
BPS Siapkan Strategi Khusus Jangkau Usaha Informal di Jember,"Salah satu tantangan terbesar pelaksanaan SE2026 di Jember adalah menjangkau usaha informal yang sulit terdeteksi karena tidak memiliki lokasi tetap. Pendekatan lintas RT/RW turut digunakan untuk memastikan usaha skala sangat kecil ikut terdata. Usaha berbasis digital kerap luput dari pencatatan karena tidak memiliki lokasi usaha fisik yang jelas. ""Saya baru tahu usaha jualan online di rumah juga perlu didata,"" kata salah satu pelaku usaha rumahan di Jember. BPS optimistis strategi ini akan memperluas cakupan data dibanding sensus ekonomi sebelumnya.",,CNN Indonesia,2026-03-22
BPS Sidoarjo Gencarkan Sosialisasi SE2026 hingga ke Tingkat Desa,"BPS menggelar sosialisasi Sensus Ekonomi 2026 di Sidoarjo guna memastikan masyarakat memahami tujuan dan manfaat sensus. Petugas akan mengenakan tanda pengenal resmi dan seluruh data yang dikumpulkan dijamin kerahasiaannya sesuai Undang-Undang Statistik. Sebanyak 96 persen peserta sosialisasi di Sidoarjo mengaku baru memahami mekanisme sensus setelah mengikuti kegiatan tersebut. ""Semakin lengkap data usaha yang tercatat, semakin tepat sasaran program bantuan dan pembinaan dari pemerintah,"" kata perwakilan BPS Sidoarjo. BPS Sidoarjo membuka posko informasi bagi warga yang ingin bertanya lebih lanjut soal SE2026.",,Republika,2026-03-04
Pelaku Usaha Digital di Lumajang Diminta Tak Lewatkan SE2026,"Salah satu tantangan terbesar pelaksanaan SE2026 di Lumajang adalah menjangkau usaha informal yang sulit terdeteksi karena tidak memiliki lokasi tetap. Pendekatan lintas RT/RW turut digunakan untuk memastikan usaha skala sangat kecil ikut terdata. Usaha berbasis digital kerap luput dari pencatatan karena tidak memiliki lokasi usaha fisik yang jelas. ""Saya baru tahu usaha jualan online di rumah juga perlu didata,"" kata salah satu pelaku usaha rumahan di Lumajang. BPS optimistis strategi ini akan memperluas cakupan data dibanding sensus ekonomi sebelumnya.",,Madura Pos,2026-03-06
BPS Siapkan Strategi Khusus Jangkau Usaha Informal di Denpasar,"Salah satu tantangan terbesar pelaksanaan SE2026 di Denpasar adalah menjangkau usaha informal yang sulit terdeteksi karena tidak memiliki lokasi tetap. BPS menyiapkan metode pendataan khusus, termasuk pendekatan berbasis komunitas dan platform daring, untuk menjangkau kelompok usaha ini. Diperkirakan ribuan pelaku usaha rumahan di Denpasar belum pernah tercatat dalam sensus ekonomi sebelumnya. ""Saya baru tahu usaha jualan online di rumah juga perlu didata,"" kata salah satu pelaku usaha rumahan di Denpasar. BPS optimistis strategi ini akan memperluas cakupan data dibanding sensus ekonomi sebelumnya.",,Liputan6,2026-03-18
Pelaku Usaha Digital di Bogor Diminta Tak Lewatkan SE2026,"BPS mengingatkan pelaku usaha berbasis digital di Bogor, termasuk pemilik toko daring, agar turut terdata dalam SE2026. Usaha berbasis digital kerap luput dari pencatatan karena tidak memiliki lokasi usaha fisik yang jelas. Pendekatan lintas RT/RW turut digunakan untuk memastikan usaha skala sangat kecil ikut terdata. ""Usaha online sekarang juga bagian penting ekonomi, jadi wajib ikut tercatat di SE2026,"" ujar perwakilan BPS Bogor. BPS optimistis strategi ini akan memperluas cakupan data dibanding sensus ekonomi sebelumnya.",,Antara News,2026-03-09
Pemerintah Ajak Pelaku UMKM Kupang Aktif Berpartisipasi dalam SE2026,"Kegiatan sosialisasi SE2026 di Kupang menyasar kelompok pelaku usaha, tokoh masyarakat, hingga aparat desa. Partisipasi UMKM dinilai krusial karena sektor ini menyumbang lebih dari separuh produk domestik bruto nasional. Sebanyak 24 persen peserta sosialisasi di Kupang mengaku baru memahami mekanisme sensus setelah mengikuti kegiatan tersebut. ""Kami akan terus turun ke lapangan agar tidak ada warga yang salah paham soal sensus ini,"" ujar petugas sosialisasi BPS. BPS Kupang membuka posko informasi bagi warga yang ingin bertanya lebih lanjut soal SE2026.",,CNBC Indonesia,2026-03-27
BPS Siapkan Strategi Khusus Jangkau Usaha Informal di Lumajang,"Salah satu tantangan terbesar pelaksanaan SE2026 di Lumajang adalah menjangkau usaha informal yang sulit terdeteksi karena tidak memiliki lokasi tetap. Pendekatan lintas RT/RW turut digunakan untuk memastikan usaha skala sangat kecil ikut terdata. Diperkirakan ribuan pelaku usaha rumahan di Lumajang belum pernah tercatat dalam sensus ekonomi sebelumnya. ""Saya baru tahu usaha jualan online di rumah juga perlu didata,"" kata salah satu pelaku usaha rumahan di Lumajang. BPS optimistis strategi ini akan memperluas cakupan data dibanding sensus ekonomi sebelumnya.",,Tribunnews,2026-03-13
BPS Pekanbaru Gelar Pelatihan Petugas Sensus Ekonomi 2026,"BPS Pekanbaru menggelar pelatihan intensif bagi calon petugas Sensus Ekonomi 2026 yang akan diterjunkan ke lapangan. Pelatihan mencakup teknik wawancara, klasifikasi jenis usaha, hingga simulasi penggunaan aplikasi Computer Assisted Personal Interviewing (CAPI). Proses rekrutmen dilakukan secara transparan dan terbuka bagi warga lokal yang memenuhi kualifikasi administratif dan teknis. ""Petugas yang lolos pelatihan akan mendapatkan surat tugas resmi sebelum turun ke lapangan,"" ujar penanggung jawab pelatihan. Petugas yang lulus pelatihan akan diterjunkan ke lapangan begitu tahap pencacahan resmi dimulai.",,Okezone,2026-03-15
BPS Ingatkan Warga Lumajang Waspada Modus Penipuan Berkedok Petugas Sensus,"BPS mengimbau masyarakat Lumajang untuk lebih waspada terhadap oknum yang mengaku sebagai petugas Sensus Ekonomi 2026 namun tidak dilengkapi identitas resmi. BPS menegaskan seluruh petugas sah dibekali surat tugas dan tanda pengenal resmi ber-QR code yang dapat diverifikasi. Warga diminta segera melapor ke kantor BPS setempat apabila menemukan indikasi oknum yang mencurigakan. ""Kami tidak pernah meminta transfer uang atau data rekening dalam proses sensus,"" tegas petugas BPS. BPS berharap kewaspadaan masyarakat dapat menekan potensi penyalahgunaan nama sensus untuk kepentingan pribadi oknum tertentu.",,Investor Daily,2026-03-27
"Awas Petugas SE2026 Palsu, BPS Mojokerto Beri Imbauan Ini","BPS mengimbau masyarakat Mojokerto untuk lebih waspada terhadap oknum yang mengaku sebagai petugas Sensus Ekonomi 2026 namun tidak dilengkapi identitas resmi. Petugas resmi SE2026 tidak pernah meminta imbalan uang dalam bentuk apa pun kepada responden. BPS menegaskan seluruh petugas sah dibekali surat tugas dan tanda pengenal resmi ber-QR code yang dapat diverifikasi. ""Kalau ragu, warga bisa langsung menghubungi kantor BPS Mojokerto untuk konfirmasi,"" kata perwakilan BPS. BPS berharap kewaspadaan masyarakat dapat menekan potensi penyalahgunaan nama sensus untuk kepentingan pribadi oknum tertentu.",,Okezone,2026-03-01
BPS Banyuwangi Mulai Pemetaan Wilayah Usaha Jelang SE2026,"BPS memulai tahap pemetaan wilayah usaha (listing area) di Banyuwangi sebagai persiapan akhir sebelum pencacahan lapangan SE2026 dimulai. BPS menggandeng aparat pemerintah desa dan kelurahan di Banyuwangi untuk membantu proses pembaruan peta wilayah. Wilayah dengan pertumbuhan permukiman dan sentra usaha baru menjadi perhatian khusus dalam proses pemetaan ulang ini. ""Kami bantu tunjukkan lokasi usaha baru yang mungkin belum masuk peta lama,"" kata seorang perangkat desa di Banyuwangi. Hasil pemetaan akan menjadi acuan pembagian area kerja petugas pencacahan SE2026.",,Kompas.com,2026-03-02
BPS Ingatkan Warga Pekanbaru Waspada Modus Penipuan Berkedok Petugas Sensus,"BPS mengimbau masyarakat Pekanbaru untuk lebih waspada terhadap oknum yang mengaku sebagai petugas Sensus Ekonomi 2026 namun tidak dilengkapi identitas resmi. Warga diminta segera melapor ke kantor BPS setempat apabila menemukan indikasi oknum yang mencurigakan. Petugas resmi SE2026 tidak pernah meminta imbalan uang dalam bentuk apa pun kepada responden. ""Kami tidak pernah meminta transfer uang atau data rekening dalam proses sensus,"" tegas petugas BPS. Imbauan ini disampaikan menjelang tahap pencacahan lapangan yang akan melibatkan ribuan petugas di seluruh Pekanbaru.",,Okezone,2026-03-08
Persiapan SE2026: Medan Rekrut dan Latih Petugas Lapangan,"Proses rekrutmen dan pelatihan petugas SE2026 di Medan mulai berjalan, menyasar warga lokal yang memenuhi kualifikasi. Pelatihan mencakup teknik wawancara, klasifikasi jenis usaha, hingga simulasi penggunaan aplikasi Computer Assisted Personal Interviewing (CAPI). Proses rekrutmen dilakukan secara transparan dan terbuka bagi warga lokal yang memenuhi kualifikasi administratif dan teknis. ""Petugas yang lolos pelatihan akan mendapatkan surat tugas resmi sebelum turun ke lapangan,"" ujar penanggung jawab pelatihan. BPS Medan menargetkan seluruh petugas siap sebelum jadwal pencacahan nasional dimulai.",,Antara News,2026-03-15
