title,content,url,source,published_date
"Pencanangan Sensus Ekonomi 2026 Digelar di Malang, Catat Seluruh Unit Usaha","Badan Pusat Statistik (BPS) resmi mencanangkan pelaksanaan Sensus Ekonomi 2026 (SE2026) di Malang, yang akan mencatat seluruh unit usaha mulai dari skala mikro hingga korporasi besar. Data yang dihasilkan nantinya akan digunakan sebagai dasar perencanaan pembangunan ekonomi lima tahun mendatang, termasuk penyusunan Produk Domestik Regional Bruto. Kegiatan pencanangan turut menandai dimulainya tahapan sosialisasi masif ke masyarakat dan pelaku usaha di Malang. ""Kami mengajak seluruh elemen masyarakat Malang untuk mendukung kelancaran Sensus Ekonomi 2026,"" kata perwakilan BPS setempat. Pelaksanaan SE2026 di Malang ditargetkan rampung sesuai jadwal nasional yang telah ditetapkan.",,Berita Satu,2026-01-09
"Pencanangan Sensus Ekonomi 2026 Digelar di Tuban, Catat Seluruh Unit Usaha","Kegiatan pencanangan Sensus Ekonomi 2026 di Tuban berlangsung meriah dan dihadiri unsur pemerintah daerah, dunia usaha, serta akademisi. Sensus ini merupakan yang ketujuh sejak pertama kali dilaksanakan pada 1986 dan menjadi rujukan utama penyusunan kebijakan ekonomi nasional maupun daerah. BPS menargetkan seluruh unit usaha di Tuban, baik yang berbadan hukum maupun tidak, dapat tercatat dalam basis data SE2026. ""Ini bukan sekadar pendataan, tapi investasi jangka panjang untuk kebijakan ekonomi yang lebih tepat sasaran,"" ujar salah satu akademisi yang hadir dalam acara pencanangan. Pelaksanaan SE2026 di Tuban ditargetkan rampung sesuai jadwal nasional yang telah ditetapkan.",,The Jakarta Post,2026-01-16
Lamongan Siapkan Fasilitas Pendukung Pelaksanaan SE2026,"Pemerintah Kabupaten Lamongan menandatangani nota kesepahaman dengan BPS setempat untuk memperkuat dukungan pelaksanaan Sensus Ekonomi 2026. Kerja sama tersebut mencakup penyediaan data sekunder wilayah dan fasilitasi akses ke kawasan usaha. Dukungan anggaran operasional tambahan juga disiapkan pemerintah daerah untuk membantu kelancaran petugas di lapangan. ""Kami siap all-out mendukung BPS demi data yang akurat untuk perencanaan pembangunan daerah,"" ujar pejabat Pemkab Lamongan. Kerja sama ini diharapkan mempercepat penyelesaian tahapan SE2026 di Lamongan.",,Sindonews,2026-01-01
"Sosialisasi Sensus Ekonomi 2026 Digelar di Makassar, Warga Diminta Kooperatif","BPS menggelar sosialisasi Sensus Ekonomi 2026 di Makassar guna memastikan masyarakat memahami tujuan dan manfaat sensus. BPS menegaskan data SE2026 hanya digunakan untuk kepentingan statistik dan tidak berkaitan dengan urusan perpajakan atau penegakan hukum. Partisipasi UMKM dinilai krusial karena sektor ini menyumbang lebih dari separuh produk domestik bruto nasional. ""Awalnya saya kira ini untuk pajak, ternyata untuk data statistik saja. Jadi lebih tenang,"" ujar salah seorang pelaku usaha di Makassar. Sosialisasi akan terus digencarkan hingga tahap pencacahan lapangan dimulai.",,Tempo,2026-01-25
Balikpapan Siap Sambut Pelaksanaan Sensus Ekonomi 2026,"Kegiatan pencanangan Sensus Ekonomi 2026 di Balikpapan berlangsung meriah dan dihadiri unsur pemerintah daerah, dunia usaha, serta akademisi. Data yang dihasilkan nantinya akan digunakan sebagai dasar perencanaan pembangunan ekonomi lima tahun mendatang, termasuk penyusunan Produk Domestik Regional Bruto. BPS menargetkan seluruh unit usaha di Balikpapan, baik yang berbadan hukum maupun tidak, dapat tercatat dalam basis data SE2026. ""Data yang akurat dari SE2026 akan menjadi dasar perencanaan pembangunan ekonomi ke depan,"" ujar Kepala BPS Balikpapan. BPS berharap seluruh pemangku kepentingan di Balikpapan dapat bersinergi menyukseskan program ini.",,Jawa Pos,2026-01-28
Pemerintah Ajak Pelaku UMKM Semarang Aktif Berpartisipasi dalam SE2026,"Kementerian Koperasi dan UKM bersama BPS mengajak pelaku usaha mikro, kecil, dan menengah di Semarang untuk berpartisipasi aktif dalam SE2026. Sebanyak 90 persen peserta sosialisasi di Semarang mengaku baru memahami mekanisme sensus setelah mengikuti kegiatan tersebut. Sosialisasi turut melibatkan tokoh masyarakat setempat agar pesan tersampaikan lebih efektif ke pelaku usaha kecil. ""Awalnya saya kira ini untuk pajak, ternyata untuk data statistik saja. Jadi lebih tenang,"" ujar salah seorang pelaku usaha di Semarang. BPS Semarang membuka posko informasi bagi warga yang ingin bertanya lebih lanjut soal SE2026.",,Warta Ekonomi,2026-01-16
"Sensus Ekonomi 2026 Dimulai, Semarang Jadi Salah Satu Lokasi Pencanangan","Badan Pusat Statistik (BPS) resmi mencanangkan pelaksanaan Sensus Ekonomi 2026 (SE2026) di Semarang, yang akan mencatat seluruh unit usaha mulai dari skala mikro hingga korporasi besar. Sensus ini merupakan yang ketujuh sejak pertama kali dilaksanakan pada 1986 dan menjadi rujukan utama penyusunan kebijakan ekonomi nasional maupun daerah. Kegiatan pencanangan turut menandai dimulainya tahapan sosialisasi masif ke masyarakat dan pelaku usaha di Semarang. ""Data yang akurat dari SE2026 akan menjadi dasar perencanaan pembangunan ekonomi ke depan,"" ujar Kepala BPS Semarang. BPS berharap seluruh pemangku kepentingan di Semarang dapat bersinergi menyukseskan program ini.",,Kompas.com,2026-01-28
BPS Resmi Luncurkan Sensus Ekonomi 2026 di Jakarta Selatan,"Kegiatan pencanangan Sensus Ekonomi 2026 di Jakarta Selatan berlangsung meriah dan dihadiri unsur pemerintah daerah, dunia usaha, serta akademisi. Sensus ini merupakan yang ketujuh sejak pertama kali dilaksanakan pada 1986 dan menjadi rujukan utama penyusunan kebijakan ekonomi nasional maupun daerah. Kegiatan pencanangan turut menandai dimulainya tahapan sosialisasi masif ke masyarakat dan pelaku usaha di Jakarta Selatan. ""Kami mengajak seluruh elemen masyarakat Jakarta Selatan untuk mendukung kelancaran Sensus Ekonomi 2026,"" kata perwakilan BPS setempat. Pelaksanaan SE2026 di Jakarta Selatan ditargetkan rampung sesuai jadwal nasional yang telah ditetapkan.",,Warta Ekonomi,2026-01-01
"Sosialisasi Sensus Ekonomi 2026 Digelar di Denpasar, Warga Diminta Kooperatif","Kementerian Koperasi dan UKM bersama BPS mengajak pelaku usaha mikro, kecil, dan menengah di Denpasar untuk berpartisipasi aktif dalam SE2026. Partisipasi UMKM dinilai krusial karena sektor ini menyumbang lebih dari separuh produk domestik bruto nasional. Sebanyak 55 persen peserta sosialisasi di Denpasar mengaku baru memahami mekanisme sensus setelah mengikuti kegiatan tersebut. ""Semakin lengkap data usaha yang tercatat, semakin tepat sasaran program bantuan dan pembinaan dari pemerintah,"" kata perwakilan BPS Denpasar. Sosialisasi akan terus digencarkan hingga tahap pencacahan lapangan dimulai.",,Validnews,2026-01-06
Pemkab Sidoarjo Teken Kerja Sama dengan BPS Dukung SE2026,"Pemerintah Kabupaten Sidoarjo menandatangani nota kesepahaman dengan BPS setempat untuk memperkuat dukungan pelaksanaan Sensus Ekonomi 2026. Bupati/wali kota Sidoarjo menyampaikan komitmen daerah dalam menyukseskan program strategis nasional ini. Sejumlah dinas terkait di Sidoarjo dilibatkan untuk mempercepat proses koordinasi lapangan. ""Kami siap all-out mendukung BPS demi data yang akurat untuk perencanaan pembangunan daerah,"" ujar pejabat Pemkab Sidoarjo. Kerja sama ini diharapkan mempercepat penyelesaian tahapan SE2026 di Sidoarjo.",,Rilis Resmi BPS,2026-01-11
